,R,Delta,Order,Theta
465,90.0,1.0,0.038259227549253476,-0.5073666996192895
466,90.0,1.0,0.022413557585202793,0.317930949879757
467,90.0,1.0,0.025802928376761593,-0.5151450640721094
468,90.0,1.0,0.014929586454818327,-0.20340889391664857
469,90.0,1.0,0.0575014813045053,-0.3517510242141971
470,90.0,1.0,0.01629415124557786,0.2907995075394093
471,90.0,1.0,0.022154491420715267,-0.2778476143230892
472,90.0,1.0,0.06129465227149293,0.4153692900550744
473,90.0,1.0,0.07667007742229187,0.032607802561039345
474,90.0,1.0,0.02396134476714699,0.5248766426769679
475,90.0,1.0,0.020488259325742744,-0.2032921948667836
476,90.0,1.0,0.009916957245272197,0.6098935317787803
477,90.0,1.0,0.04751382023044248,0.20864137485414413
478,90.0,1.0,0.030226543362770357,0.08240959225129806
479,90.0,1.0,0.01171237150743322,-0.4262880267660164
480,90.0,1.0,0.03724700574018698,0.2813966430410926
481,90.0,1.0,0.05031521319426427,0.3649983482360114
482,90.0,1.0,0.03585025062859468,0.10618240171156894
483,90.0,1.0,0.029414894244164082,-0.1397864859438303
484,90.0,1.0,0.018634274232516276,0.3944517581721893
485,90.0,1.0,0.027500577569923114,0.07576042682407627
486,90.0,1.0,0.04699589257775569,-0.10878406995123893
487,90.0,1.0,0.04347049177078102,-0.3282189945138907
